geneName	h1_T0	h1_T12	h2_T0	h2_T12
ACTBL2	0	1	0	0
ACTC1	305	474	87	565
ACTL10	4	7	2	8
ACTL6A	243	411	220	456
ACTL6B	1	0	0	0
ACTL7A	0	0	0	0
ACTL7B	0	0	0	0
ACTL8	0	0	0	0
ACTL9	0	0	0	0
ACTN1	4277	8018	6230	8069
ACTN2	0	1	0	1
ACTN4	1889	2446	2785	2848
ACTR10	469	667	534	666
ACTR1A	397	508	404	583
ACTR1B	194	206	248	300
ACTR2	292	588	256	360
ACTR3B	25	45	32	67
ACTR5	47	64	28	63
ACTR6	115	161	120	77
ACTR8	178	214	161	256
ACTRT2	0	0	0	0
ACVR1	779	653	584	502
ACVR1B	262	215	226	198
ACVR1C	8	13	0	3
ACVR2A	409	96	484	167
ACVR2B	12	5	5	2
ACVRL1	100	81	116	153
ACY3	0	0	0	0
ACYP2	51	46	64	38
ADA	109	266	36	162
ADAD1	0	0	0	0
ADAD2	0	0	0	0
ADAL	84	96	47	66
ADAM10	1048	1045	735	504
ADAM11	7	1	3	2
ADAM12	1215	9901	1526	4971
ADAM15	416	346	404	509
ADAM17	227	142	131	99
ADAM18	0	0	0	0
ADAM19	22	151	17	112
ADAM2	0	0	0	0
ADAM20	0	0	0	0
ADAM22	3	0	0	0
ADAM23	64	106	43	66
ADAM28	15	6	2	0
ADAM29	0	0	0	0
ADAM30	0	0	0	0
ADAM32	6	16	6	2
ADAM33	1128	104	1485	248
ADAM7	0	0	0	0
ADAM9	2907	2768	2051	1086
ADAMDEC1	0	1	0	0
ADAMTS1	6192	6478	7509	4664
ADAMTS10	152	47	147	51
ADAMTS12	297	246	88	51
ADAMTS13	71	24	38	18
ADAMTS14	197	526	107	331
ADAMTS15	0	0	0	0
ADAMTS16	0	1	0	0
ADAMTS17	0	0	0	0
ADAMTS18	0	5	1	1
ADAMTS19	0	0	0	0
ADAMTS2	2516	4952	1704	2527
ADAMTS20	0	1	0	0
ADAMTS3	23	21	28	45
ADAMTS4	11	77	12	73
ADAMTS5	1280	478	581	146
ADAMTS6	478	818	357	316
ADAMTS7	62	52	29	17
ADAMTS8	6	4	8	41
ADAMTS9	90	13	201	18
ADAMTSL1	1702	784	2392	1024
ADAMTSL3	0	0	0	0
ADAMTSL4	522	336	654	238
ADAMTSL5	121	69	115	79
ADAP2	1	1	2	0
ADAR	2302	2163	1710	1803
ADARB1	355	242	258	174
ADARB2	0	0	0	0
ADAT1	48	70	18	51
ADAT2	40	85	25	43
ADAT3	8	11	13	4
ADC	26	11	20	11
ADCK1	34	41	36	53
ADCK2	150	95	144	117
ADCK3	146	46	119	52
ADCK4	155	61	139	75
ADCK5	49	39	55	54
ADCY1	1	4	1	7
ADCY10	0	5	0	1
ADCY3	344	364	401	475
ADCY4	45	5	31	2
ADCY5	10	10	7	8
ADCY6	831	564	652	461
ADCY7	186	408	161	294
ADCY8	1	2	0	3
ADCY9	832	520	834	389
ADCYAP1	0	0	0	0
ADCYAP1R1	2	2	0	1
ADD1	1497	1481	1494	1564
ADD2	13	38	2	16
ADD3	1315	674	906	401
ADH4	1	1	2	0
ADH6	16	5	16	4
ADI1	754	763	629	816
ADIPOQ	0	0	0	0
ADIPOR1	675	782	698	1037
ADIPOR2	766	803	670	684
ADK	277	614	182	441
ADM	5615	2454	6485	3718
ADNP	851	840	755	672
ADNP2	212	182	145	157
ADORA1	32	15	1	12
ADORA2A	6	18	4	3
ADORA3	0	0	0	1
ADPGK	295	535	336	651
ADPRH	19	11	21	9
ADPRHL1	4	1	1	1
ADPRHL2	223	326	256	541
ADRA1A	0	0	0	3
ADRA1B	26	23	32	15
ADRA1D	18	68	47	119
ADRA2A	986	215	1617	387
ADRA2C	3	31	2	22
ADRB2	17	32	14	13
ADRB3	0	0	0	0
ADRBK1	308	308	316	379
ADRBK2	10	6	4	1
ADRM1	384	928	483	1204
ADSL	228	467	239	628
ADSS	214	219	117	116
ADSSL1	29	12	44	33
AEBP1	1847	1289	732	859
AEBP2	221	172	155	80
AEN	190	268	148	268
AES	1335	1155	1586	1454
AF213884.1	0	0	0	0
AFAP1	801	551	734	355
AFAP1L1	35	50	16	19
AFAP1L2	0	0	0	0
AFF1	570	528	309	167
AFF2	111	73	34	62
AFF3	903	145	818	135
AFF4	1937	2222	1121	1144
AFG3L2	306	483	402	558
AFM	0	0	0	0
AFMID	55	48	51	45
AFP	6	10	3	4
AFTPH	310	259	271	166
AGA	101	80	134	105
AGAP1	176	235	97	182
AGAP2	79	121	67	172
AGAP3	441	548	372	471
AGBL1	0	0	0	0
AGBL3	4	2	8	1
AGBL5	830	873	998	1343
AGER	23	14	32	16
AGFG1	415	700	325	475
AGGF1	151	177	98	82
AGK	117	199	104	197
AGL	274	171	228	46
AGMO	0	0	0	0
AGPAT1	758	770	838	870
AGPAT2	55	51	75	70
AGPAT3	742	720	629	536
AGPAT4	66	70	73	77
AGPAT5	78	359	60	295
AGPAT6	298	429	195	428
AGPAT9	16	98	2	15
AGPHD1	10	1	14	10
AGPS	464	876	385	499
AGR2	0	0	0	0
AGR3	0	0	0	0
AGRN	363	190	218	116
AGRP	0	0	0	0
AGT	4	5	10	12
AGTPBP1	108	130	80	71
AGTR1	106	13	50	13
AGTR2	0	0	0	0
AGXT	0	0	0	0
AGXT2	0	0	0	1
AGXT2L1	1	0	0	0
AHCYL1	1413	1898	1216	1768
AHCYL2	226	129	150	107
AHDC1	465	289	351	246
AHI1	310	515	175	146
AHNAK	2236	1129	1468	714
AHR	1354	1217	860	433
AHSA1	537	1444	652	1582
AHSA2	483	142	340	48
AHSG	0	0	0	0
AHSP	0	0	0	0
AICDA	0	0	0	1
AIDA	1	0	1	3
AIF1	0	0	0	0
AIF1L	2	1	0	0
AIFM1	131	188	105	178
AIFM2	146	82	110	91
AIFM3	2	1	2	2
AIG1	165	103	150	107
AIM1	186	41	197	44
AIM1L	0	0	0	0
AIM2	0	0	0	0
AIMP1	672	668	521	240
AIMP2	47	63	53	103
AIP	376	227	493	468
AIPL1	0	0	0	0
AIRE	1	0	0	0
AJAP1	0	0	0	1
AJUBA	1364	682	1107	417
AK1	613	547	632	779
AK2	576	1208	568	1709
AK4	1	3	1	5
AK5	551	751	305	557
AK7	4	3	3	2
AK8	15	2	8	3
AKAP1	175	293	164	226
AKAP10	308	319	275	243
AKAP12	1005	2450	1032	1382
AKAP13	867	637	491	434
AKAP14	0	1	0	0
AKAP3	4	4	5	2
AKAP6	166	42	1297	260
AKAP7	35	19	39	21
AKAP8	62	68	52	59
AKAP9	854	749	268	131
AKD1	81	30	62	18
AKIP1	127	85	90	147
AKIRIN2	123	95	84	106
AKNA	304	77	228	60
AKNAD1	6	0	3	0
AKR1B1	398	374	263	380
AKR1C3	101	12	122	35
AKR1C4	0	0	0	0
AKR1D1	0	1	0	0
AKR1E2	13	22	25	53
AKT1	829	1224	897	1713
AKT1S1	304	222	261	284
AKT2	814	650	743	651
AKT3	924	849	724	444
AKTIP	176	115	183	91
AL031653.1	0	0	0	0
AL035045.1	0	0	0	0
AL035467.1	0	0	0	0
AL035697.1	0	0	0	0
AL096700.1	0	0	0	0
AL157702.1	0	0	0	0
AL160037.1	0	0	0	0
AL162590.1	1	0	0	1
AL354984.1	0	0	0	0
AL355512.1	0	0	0	0
AL359815.1	0	0	0	0
