geneName	h1_T0	h1_T12	h2_T0	h2_T12
CRISPLD1	2	1	0	0
CRISPLD2	327	1662	420	2533
CRKL	695	740	610	803
CRLF1	95	211	1553	3000
CRLS1	157	373	174	308
CRMP1	371	292	290	188
CRNKL1	149	186	112	124
CRNN	0	0	0	0
CROCC	70	35	61	20
CROT	193	101	145	102
CRP	0	0	0	0
CRTAC1	2	3	2	2
CRTAM	0	0	0	0
CRTAP	1960	1552	1981	2114
CRTC1	24	22	35	34
CRTC2	217	199	211	186
CRTC3	127	110	115	97
CRY1	108	176	95	159
CRY2	148	73	163	66
CRYAA	0	0	0	0
CRYAB	880	1022	1133	1878
CRYBA1	0	0	0	0
CRYBA2	0	0	0	0
CRYBA4	0	0	0	0
CRYBB1	0	0	1	1
CRYBB2	0	0	0	0
CRYBB3	0	0	0	0
CRYBG3	289	387	192	179
CRYGA	0	0	0	0
CRYGB	0	0	0	0
CRYGC	0	0	0	0
CRYGD	0	0	0	0
CRYGN	0	0	0	0
CRYL1	95	125	119	142
CRYM	3	0	0	1
CRYZ	90	53	84	8
CRYZL1	160	103	151	97
CSAD	177	96	95	48
CSDA	818	715	724	601
CSDC2	3	4	8	9
CSDE1	6842	7812	4967	4803
CSE1L	548	1124	433	509
CSF1	889	1113	463	932
CSF1R	1	19	6	14
CSF2	0	1	0	1
CSF2RB	275	342	70	94
CSF3	0	0	0	0
CSF3R	0	0	0	0
CSGALNACT1	6	16	5	12
CSGALNACT2	179	194	195	154
CSK	260	327	229	454
CSMD1	0	0	1	1
CSMD3	0	0	0	0
CSN2	0	0	0	0
CSN3	0	0	0	0
CSNK1A1	1943	2190	1581	1662
CSNK1A1L	147	151	94	104
CSNK1D	535	516	524	534
CSNK1E	974	1318	1170	1292
CSNK1G1	54	113	50	67
CSNK1G2	107	111	92	138
CSNK1G3	660	569	417	185
CSNK2A1	8	17	9	15
CSNK2A2	161	143	183	156
CSNK2B	458	716	562	1067
CSPG4	8	29	9	20
CSPG5	0	2	2	1
CSPP1	101	109	83	37
CSRNP1	83	296	113	473
CSRNP2	394	405	343	384
CSRNP3	13	3	1	0
CSRP1	1764	7921	2055	7184
CSRP2	68	43	77	102
CSRP2BP	178	190	157	165
CSRP3	0	0	0	0
CST11	0	0	0	0
CST6	7	15	23	118
CST7	0	0	0	0
CST8	0	0	0	0
CST9	0	0	0	0
CSTA	29	27	9	6
CSTB	316	412	245	407
CSTF1	179	148	183	197
CSTF2	70	232	75	153
CSTF3	215	383	153	209
CSTL1	0	0	0	0
CTBP1	765	802	727	832
CTBP2	60	56	45	26
CTBS	260	319	250	214
CTC1	48	18	46	14
CTCF	201	264	193	208
CTCFL	0	0	0	0
CTD-2140B24.4.1	21	17	10	11
CTD-2600O9.1.1	0	0	0	0
CTD-2611O12.3.1	0	0	0	0
CTD-3074O7.11.1	88	57	103	57
CTDP1	45	55	48	54
CTDSP1	850	676	1190	1181
CTDSP2	3176	2173	2986	2176
CTDSPL	636	409	594	350
CTDSPL2	244	351	223	205
CTF1	5	0	9	4
CTGF	24304	27818	45073	32427
CTH	13	11	12	13
CTHRC1	291	505	297	450
CTIF	2310	998	1984	882
CTLA4	0	0	0	0
CTNNA1	2310	2780	2666	3099
CTNNA3	0	0	0	0
CTNNAL1	381	412	547	307
CTNNB1	2086	2595	1589	1718
CTNNBIP1	90	92	109	150
CTNNBL1	135	216	157	310
CTNND2	0	0	0	0
CTNS	224	105	114	79
CTPS	162	884	256	968
CTPS2	93	92	55	50
CTR9	702	880	511	498
CTRC	0	0	0	0
CTRL	27	18	15	21
CTSC	1345	2154	420	815
CTSE	0	0	0	0
CTSF	1032	705	1235	1141
CTSG	0	0	0	0
CTSH	27	26	16	18
CTSK	8433	5418	2493	4465
CTSL1	1647	1994	1510	2309
CTSL2	12	15	7	11
CTSO	110	81	93	67
CTSS	14	27	3	13
CTSW	2	5	0	2
CTSZ	1355	1498	1815	1608
CTTNBP2	0	1	0	0
CTTNBP2NL	812	776	725	552
CTU1	1	2	0	4
CTU2	64	144	63	169
CTXN3	1	0	0	0
CUBN	35	18	11	5
CUEDC1	274	251	277	230
CUEDC2	281	212	304	415
CUL1	349	430	331	360
CUL2	337	571	261	332
CUL3	733	760	519	465
CUL4A	926	1145	807	971
CUL4B	1138	887	778	358
CUL5	590	723	355	189
CUL7	816	434	791	579
CUL9	266	147	189	139
CUTA	528	466	535	696
CUTC	99	93	126	90
CUX1	330	394	304	346
CUX2	0	0	0	0
CUZD1	11	13	9	4
CWC22	239	266	185	118
CWC25	142	140	138	140
CWC27	150	194	127	82
CWF19L2	102	76	64	26
CWH43	0	0	0	0
CX3CR1	0	0	1	0
CXADR	1	0	0	1
CXCL10	0	2	0	0
CXCL11	0	0	0	0
CXCL12	900	6381	408	4356
CXCL13	0	0	0	0
CXCL14	3	6	11	14
CXCL16	6	3	18	24
CXCL17	0	0	0	0
CXCL6	0	14	0	18
CXCL9	0	0	0	0
CXCR1	0	0	0	0
CXCR2	0	0	0	0
CXCR3	0	0	0	0
CXCR4	0	2	0	3
CXCR5	0	0	0	1
CXCR6	5	1	0	1
CXCR7	763	767	432	745
CXorf21	0	0	0	0
CXorf22	0	0	0	0
CXorf23	76	40	52	14
CXorf26	27	71	33	47
CXorf27	0	0	0	0
CXorf30	0	0	0	0
CXorf38	19	33	10	36
CXorf41	0	0	0	0
CXorf48	0	0	0	0
CXorf57	9	14	1	1
CXorf61	0	0	0	0
CXorf64	0	0	0	0
CXorf65	0	0	0	0
CXorf66	0	0	0	0
CXXC1	237	306	217	286
CXXC4	0	0	0	0
CXXC5	894	926	763	798
CYB561	241	330	131	236
CYB561D1	279	228	262	289
CYB561D2	185	293	183	258
CYB5A	189	98	152	107
CYB5B	163	215	153	280
CYB5D1	263	344	196	330
CYB5R1	404	387	334	424
CYB5R2	75	61	80	96
CYB5R3	2481	2444	3188	3238
CYB5R4	99	92	84	64
CYB5RL	106	31	40	32
CYBA	38	16	45	71
CYBASC3	336	200	221	143
CYBB	0	0	0	0
CYBRD1	16216	10071	8729	5765
CYC1	263	508	310	763
CYFIP1	1172	1055	1007	864
CYFIP2	60	19	75	48
CYGB	100	112	32	54
CYHR1	408	128	417	203
CYLC1	0	0	0	0
CYLC2	0	0	0	0
CYLD	635	1031	417	571
CYP11B1	0	0	0	0
CYP17A1	0	0	1	0
CYP19A1	1	19	1	22
CYP1A2	0	0	0	0
CYP1B1	2456	1121	1353	626
CYP20A1	97	139	86	110
CYP24A1	0	0	0	0
CYP26B1	521	80	597	56
CYP26C1	0	0	0	0
CYP27A1	102	35	60	26
CYP27B1	5	10	4	5
CYP27C1	32	44	9	11
CYP2C8	0	0	0	0
CYP2J2	0	0	0	0
CYP2R1	95	51	56	32
CYP2S1	0	0	0	0
CYP2U1	466	204	216	102
CYP2W1	5	0	1	0
CYP39A1	10	0	4	0
CYP3A43	0	0	0	0
CYP46A1	5	0	2	4
CYP4B1	0	0	0	0
CYP4F12	0	0	0	0
CYP4F2	0	0	0	0
CYP4F22	0	0	0	0
CYP4F8	0	0	0	0
CYP4V2	95	38	39	15
CYP4X1	1	0	0	0
CYP7A1	1	0	0	0
CYP7B1	33	74	3	18
CYR61	15462	16144	18907	15661
CYS1	28	3	37	7
CYSLTR1	0	0	0	0
CYTH1	206	204	160	162
CYTH2	323	259	391	409
CYTH3	458	440	443	590
CYTH4	0	0	0	0
CYTIP	0	0	0	1
CYTL1	22	23	2	3
CYYR1	64	12	9	2
D2HGDH	99	57	81	69
DAAM1	311	184	191	78
DAAM2	815	135	665	224
DAB1	50	42	16	16
DAB2	7182	3563	5716	1925
DAB2IP	198	130	202	195
DACH1	4	5	0	0
DACH2	0	0	0	0
DACT1	189	892	80	757
DACT2	0	0	0	0
DAD1	841	1527	905	2058
DAG1	1935	1979	1681	1612
DAGLA	57	42	47	31
DAK	339	171	239	171
DAO	0	0	0	0
DAP	105	142	101	217
DAP3	286	473	235	509
DAPK1	1918	82	982	24
DAPK2	95	15	184	48
DAPK3	295	330	362	448
DAPL1	0	0	0	1
DAPP1	0	0	1	0
DARC	3	0	0	0
DARS	397	794	422	856
DARS2	132	197	102	133
DAXX	373	539	351	451
DAZAP1	386	669	386	716
DAZAP2	354	282	338	283
DAZL	0	0	0	0
DBC1	179	50	55	87
DBF4	4	12	2	8
DBF4B	24	25	21	21
DBH	0	0	0	0
DBI	441	582	477	516
DBN1	1032	1294	1226	1343
DBNDD1	0	0	1	0
DBNDD2	61	118	102	152
DBP	29	1	58	9
DBR1	121	171	102	152
DBT	201	226	127	138
DBX2	0	0	0	2
DCAF10	340	337	252	216
DCAF11	430	360	384	409
DCAF12	163	253	131	173
DCAF12L2	0	0	2	1
DCAF15	75	54	66	85
DCAF16	319	212	178	104
DCAF17	375	199	200	129
DCAF4	103	106	88	127
DCAF4L1	2	3	1	4
DCAF5	580	400	474	330
DCAF6	893	842	778	573
DCAKD	65	58	62	47
DCBLD1	242	722	160	479
DCBLD2	1074	4237	1043	2319
DCC	0	0	0	0
DCD	0	0	0	0
DCDC1	3	0	0	0
DCDC2	0	0	0	0
DCDC5	1	13	0	3
DCHS1	217	209	220	213
DCHS2	22	4	31	1
DCK	3	20	2	9
DCLK1	134	95	34	27
DCLK2	49	28	53	39
DCLK3	1	14	0	5
DCLRE1A	92	62	59	27
DCLRE1B	61	147	61	136
DCLRE1C	25	27	18	14
DCN	47098	33477	88753	78014
DCP1B	143	101	146	82
DCPS	42	57	46	94
DCST1	2	3	0	0
DCST2	5	2	6	0
DCT	2	1	1	1
DCTD	1189	1451	1162	1943
DCTN1	2386	2786	1918	2497
DCTN2	977	825	1035	1092
DCTN3	332	378	352	648
DCTN4	668	975	531	756
DCTN5	10	19	10	32
DCTN6	183	217	161	101
DCTPP1	64	221	104	319
DCUN1D1	320	255	276	62
DCUN1D2	82	40	42	50
DCUN1D4	549	473	320	209
DCUN1D5	133	375	112	319
DCX	0	0	0	0
DCXR	109	87	162	206
DDA1	25	34	21	61
DDAH1	2741	4118	2387	1684
DDAH2	540	228	719	357
DDB1	2094	2405	1614	2177
DDB2	432	176	464	247
DDC	1	0	0	0
DDHD1	269	253	142	165
DDHD2	434	446	374	327
DDI2	130	254	90	134
DDIT3	523	242	482	331
DDIT4	823	720	856	1312
DDIT4L	3	3	2	9
DDN	0	0	0	1
DDO	0	0	0	0
DDOST	951	1200	1107	1461
DDR2	2238	911	1357	790
DDRGK1	158	215	167	178
DDX1	658	1542	607	1107
DDX17	7338	3422	5050	2203
DDX18	31	70	21	48
DDX19B	79	114	72	113
DDX20	62	60	51	45
DDX23	368	535	336	523
DDX24	1879	1973	1728	1981
DDX25	0	0	0	0
DDX26B	115	43	82	24
DDX27	301	537	335	425
DDX28	54	65	67	113
DDX31	71	109	61	119
DDX39A	109	259	89	348
DDX39B	1794	1617	1753	1708
DDX4	0	0	0	0
DDX41	265	531	300	980
DDX42	1410	1651	1061	1149
DDX43	0	1	8	2
DDX46	473	792	302	397
DDX47	531	645	534	611
DDX49	166	298	177	454
DDX5	7201	5639	6388	3554
DDX50	172	254	135	174
DDX51	44	75	47	106
DDX52	271	394	203	179
DDX54	293	425	238	478
DDX55	102	213	96	175
DDX56	288	502	291	690
DDX58	157	103	87	60
DDX59	73	52	51	61
DDX6	173	187	75	131
DDX60	62	41	27	9
DDX60L	166	96	76	21
DEAF1	268	193	272	320
DEC1	0	0	1	1
DECR1	211	231	242	248
DECR2	31	29	46	45
DEDD	277	267	276	359
DEF6	6	0	3	1
DEF8	50	68	58	98
DEFB1	0	0	0	0
DEFB110	0	0	0	0
DEFB114	0	0	0	0
DEFB116	0	0	0	0
DEFB118	0	0	0	0
DEFB121	0	0	0	0
DEFB123	0	0	0	0
DEFB124	0	0	0	0
DEFB126	0	0	0	0
DEFB127	0	0	0	0
DEFB129	0	0	0	0
DEFB132	0	0	0	0
DEFB133	0	0	0	0
DEFB134	0	0	0	0
DEFB136	0	0	0	0
DEGS1	1069	2043	1171	2073
DEGS2	0	0	0	0
DEM1	67	105	95	100
DENND1A	72	64	87	69
DENND1B	59	88	56	31
DENND1C	0	0	0	0
DENND2C	8	26	5	4
DENND2D	23	14	37	4
DENND3	47	23	56	57
DENND4A	383	414	217	156
DENND4B	269	287	205	288
DENND4C	515	404	337	198
DENND5A	1745	1207	1640	1329
DENND5B	230	169	79	81
DENR	40	83	26	35
DEPDC1	0	1	1	0
DEPDC1B	0	0	0	0
DEPDC7	52	93	48	72
DEPTOR	294	50	58	23
DERA	114	121	135	133
DERL1	707	940	620	881
DERL2	306	506	277	486
DES	29	60	9	32
DET1	79	55	72	61
DFFA	164	305	130	338
DFFB	25	13	19	20
DFNA5	501	228	349	198
DFNB31	65	22	55	41
DFNB59	44	12	27	10
DGAT1	78	77	80	105
DGAT2	17	32	5	10
DGAT2L6	0	0	0	0
DGCR14	152	162	123	196
DGCR2	861	823	782	810
DGCR8	381	759	369	788
DGKA	449	328	272	225
DGKB	1	2	0	2
DGKD	78	100	64	88
DGKE	20	22	7	14
DGKG	1	0	0	1
DGKI	59	291	23	180
DGKZ	124	155	116	171
DGUOK	183	224	253	377
DHCR24	5201	1728	5949	1659
DHCR7	414	178	343	180
DHDDS	377	737	344	772
DHDH	2	0	0	0
DHODH	17	33	7	52
DHPS	229	225	232	345
DHRS1	78	48	91	64
DHRS11	33	28	22	38
DHRS12	38	25	50	15
DHRS13	22	12	11	42
DHRS2	0	5	0	1
DHRS3	234	51	299	107
DHRS7	372	592	313	509
DHRS7B	129	106	192	208
DHRS7C	0	0	0	0
DHRS9	0	1	0	0
DHTKD1	103	80	54	46
DHX15	1211	2137	884	1393
DHX16	282	458	242	409
DHX29	388	859	321	364
DHX30	467	600	456	687
DHX32	326	413	289	472
DHX33	143	249	111	163
DHX34	85	109	70	97
DHX35	74	78	73	68
DHX36	401	498	280	261
DHX38	463	600	409	560
DHX40	439	291	312	226
DHX57	222	354	171	232
DHX58	89	28	58	26
DHX8	394	477	292	422
DHX9	120	208	87	141
DIAPH2	210	230	134	88
DICER1	575	537	287	183
DIDO1	736	647	517	440
DIEXF	222	668	160	582
DIMT1	230	488	226	471
DIO1	1	0	4	0
DIP2A	264	287	179	145
DIP2B	360	327	234	195
DIP2C	689	779	509	491
DIRAS2	337	30	2	0
DIRAS3	10	276	5	342
DIRC2	95	60	70	53
DIS3	453	857	315	398
DIS3L	394	194	284	118
DIS3L2	76	99	51	101
DISC1	17	16	22	12
DISP1	77	55	47	61
DISP2	1	1	0	0
DIXDC1	824	575	830	363
DKC1	270	996	245	862
DKK1	3129	8850	4255	15307
DKK2	2257	168	1822	53
DKK3	9416	8934	8500	8451
DKK4	0	0	0	1
DKKL1	4	1	2	0
DLAT	146	349	130	248
DLD	532	793	548	420
DLEC1	134	140	142	174
DLEU7	0	1	0	2
DLG1	681	1037	476	344
DLG2	17	4	8	11
DLG3	130	26	123	43
DLG4	231	209	228	238
DLG5	1030	818	777	595
DLGAP1	1	0	1	1
DLGAP2	0	0	0	0
DLGAP3	0	0	0	0
DLGAP5	14	11	11	3
DLK1	0	0	2	3
DLK2	8	10	5	5
DLL1	1	2	4	4
DLL3	0	4	0	3
DLL4	0	0	0	0
DLST	88	81	90	81
DLX1	22	72	15	54
DLX2	5	21	0	20
DLX3	5	28	9	66
DLX4	5	0	6	1
DLX5	4	1	0	0
DLX6	0	0	0	0
DMAP1	168	106	146	129
DMBT1	0	1	0	0
DMBX1	0	0	0	0
DMC1	1	1	0	4
DMGDH	41	9	25	2
DMP1	0	0	0	0
DMRT2	0	1	0	0
DMRT3	0	0	0	0
DMRTA1	1	0	0	0
DMRTA2	0	0	0	0
DMRTB1	0	0	0	0
DMRTC2	0	0	0	0
DMTF1	671	593	485	291
DMWD	523	347	419	312
DMXL1	703	477	413	168
DNAAF1	0	0	1	0
DNAH1	222	119	144	82
DNAH12	0	0	0	1
DNAH2	0	0	1	0
DNAH3	0	0	0	0
DNAH5	36	40	30	27
DNAH6	10	0	1	0
DNAH7	27	12	10	5
DNAH8	1	0	0	0
DNAH9	0	0	0	0
DNAI1	1	0	0	0
DNAI2	0	0	0	0
DNAJA1	53	167	50	115
DNAJA4	54	72	28	34
DNAJB14	61	53	25	11
DNAJB2	628	455	735	660
DNAJB4	218	984	125	150
DNAJB5	186	444	185	629
DNAJB7	10	20	13	17
DNAJB8	0	0	0	0
DNAJB9	441	1289	312	908
DNAJC1	224	294	197	275
DNAJC10	1490	2187	859	847
DNAJC11	224	387	209	413
DNAJC12	1	2	0	1
DNAJC13	1093	1408	667	576
DNAJC16	188	192	96	99
DNAJC17	14	12	14	23
DNAJC18	199	84	186	111
DNAJC19	117	93	116	92
DNAJC2	218	428	135	142
DNAJC21	475	495	302	199
DNAJC22	2	2	1	2
DNAJC24	81	101	52	49
DNAJC25	127	342	124	199
DNAJC27	93	39	69	52
DNAJC28	23	5	12	0
DNAJC3	271	787	147	447
DNAJC4	145	98	171	145
DNAJC5	2	4	3	5
DNAJC5B	0	0	0	0
DNAJC5G	0	0	0	0
DNAJC6	345	154	215	113
DNAJC9	75	86	66	40
DNAL1	70	140	51	67
DNAL4	166	104	175	150
DNALI1	48	19	42	25
DNASE1	47	25	21	9
DNASE1L2	6	2	2	3
DNASE1L3	1	0	0	0
DNASE2	395	214	335	261
DNASE2B	0	0	0	1
DND1	0	0	0	0
DNER	1	5	0	0
DNLZ	21	63	57	100
DNM1	586	132	460	203
DNM1L	707	1136	557	652
DNM2	546	695	474	687
DNM3	38	18	31	16
DNMT1	201	685	164	493
DNMT3A	106	40	85	35
DNMT3B	12	7	12	7
DNMT3L	1	0	0	0
DNPEP	337	240	261	420
DNTT	0	0	0	0
DNTTIP1	83	109	106	177
DNTTIP2	35	61	22	29
DOC2A	83	90	62	124
DOC2B	0	1	0	0
DOCK1	1207	919	799	553
DOCK11	64	15	23	3
DOCK2	16	60	14	62
DOCK3	38	54	16	18
DOCK4	47	5	37	5
DOCK5	821	1426	509	694
DOCK6	184	145	193	140
DOCK7	1195	1206	926	711
DOCK8	1	0	0	0
DOCK9	325	225	199	110
DOHH	29	37	25	34
DOK1	343	399	316	517
DOK2	0	0	0	0
DOK4	307	436	407	701
DOK5	36	133	32	307
DOK6	117	195	154	141
DOK7	0	1	1	3
DOLK	274	269	221	265
DOLPP1	124	184	96	217
DOM3Z	182	137	223	135
DONSON	120	215	87	100
DOPEY1	524	681	339	352
DOPEY2	139	175	88	140
DOT1L	87	260	77	243
DPAGT1	262	367	212	344
DPCD	131	188	135	248
DPCR1	0	0	0	0
DPEP1	0	0	0	0
DPEP2	1	0	1	0
DPEP3	0	0	0	0
DPF1	1	8	0	6
DPF2	184	125	154	159
DPH1	186	116	123	115
DPH3	509	851	375	580
DPM1	258	319	224	168
DPM2	56	145	54	183
DPM3	55	51	81	95
DPP10	0	0	0	0
DPP4	971	666	189	346
DPP6	0	0	0	0
DPP7	325	262	242	336
DPP8	267	357	205	148
DPP9	170	343	217	374
DPT	2503	1782	3460	4363
DPY19L3	286	491	220	269
DPY19L4	166	130	81	65
DPY30	103	137	101	88
DPYD	608	439	449	286
DPYS	0	0	0	0
DPYSL2	1428	518	901	596
DPYSL3	1337	998	1672	1418
DPYSL5	0	0	0	0
DQX1	0	2	0	1
DR1	643	955	529	627
DRAM1	1293	1150	818	594
DRAM2	385	267	410	177
DRAP1	397	1429	487	2196
DRD1	3	2	0	1
DRD2	0	0	0	0
DRD3	0	0	0	0
DRD4	0	0	1	1
DRG1	153	338	122	357
DRG2	168	240	175	335
DROSHA	380	522	293	374
DRP2	0	0	0	0
DSC1	0	0	0	0
DSC2	0	0	0	0
DSC3	0	0	0	0
DSCAM	0	0	0	0
DSCAML1	0	0	0	0
DSCC1	20	37	25	30
DSCR3	136	126	120	125
DSCR8	0	0	0	0
DSE	1331	895	1278	425
DSG1	0	0	0	0
DSG2	13	12	0	1
DSG3	0	0	0	0
DSG4	0	0	0	0
DSN1	79	138	55	78
DSP	2951	9931	876	4687
DSPP	0	0	0	0
DST	12907	6796	4676	1618
DSTN	2869	2976	4564	3558
DSTYK	877	845	676	611
DTHD1	0	0	0	0
DTL	14	170	5	100
DTNA	94	63	13	15
DTNB	26	15	20	16
DTWD1	33	19	17	7
DTWD2	2	1	1	0
DTX1	0	1	0	0
DTX2.1	21	8	15	13
DTX3	98	68	52	33
DTX3L	243	119	176	99
DTYMK	89	123	82	215
DUOX1	11	3	6	4
DUOXA1	0	0	0	0
DUOXA2	1	0	0	0
DUPD1	0	0	0	0
DUS2L	40	77	34	80
DUS4L	52	29	47	32
DUSP1	2666	2791	2156	3335
DUSP10	138	260	142	283
DUSP11	148	250	136	248
DUSP12	135	217	180	191
DUSP13	0	0	0	0
DUSP14	559	1337	773	1617
DUSP15	0	0	2	1
DUSP16	114	81	92	54
DUSP18	88	81	66	46
DUSP19	5	3	8	1
DUSP21	0	0	0	0
DUSP22	27	15	23	20
DUSP23	63	44	51	128
DUSP26	5	5	3	14
DUSP27	0	0	0	0
DUSP28	8	4	14	6
DUSP3	79	143	48	127
DUSP4	155	81	271	191
DUSP5	70	403	69	330
DUSP6	417	661	574	375
DUSP7	41	82	30	81
DUSP9	0	0	0	0
DUT	205	163	168	135
DVL1	54	76	44	68
DVL2	367	204	310	213
DVL3	536	433	380	354
DYDC1	0	0	0	0
DYDC2	0	0	0	0
DYM	327	359	257	318
DYNC1H1	5741	3944	3048	2355
DYNC1I1	23	31	23	16
DYNC1I2	324	463	295	348
DYNC1LI1	290	375	256	298
DYNC1LI2	1644	1965	1318	1217
DYNC2H1	788	280	313	90
DYNC2LI1	162	68	127	22
DYNLRB1	343	266	401	489
DYNLRB2	3	4	2	1
DYNLT1	200	453	256	479
DYNLT3	3	3	4	1
DYRK1A	645	547	514	297
DYRK1B	190	50	153	65
DYRK2	311	311	296	284
DYRK3	149	204	125	149
DYRK4	60	109	82	165
DYSF	41	21	4	5
DYX1C1-CCPG1	4200	2721	3132	1001
DZANK1	21	8	19	6
DZIP1	355	394	274	329
DZIP1L	83	112	68	89
DZIP3	182	62	76	33
E2F1	19	134	16	98
E2F2	0	1	0	1
E2F3	11	29	11	19
E2F4	272	560	315	609
E2F5	38	55	47	45
E2F6	74	97	60	71
E2F7	50	354	16	135
E2F8	0	0	1	0
E4F1	125	133	160	167
EAF1	46	99	42	71
EAF2	2	5	2	6
EAPP	238	174	258	136
EARS2	212	489	182	565
EBAG9	126	112	120	93
EBF1	277	146	181	88
EBF2	323	444	0	3
EBF3	236	309	216	197
EBF4	1	2	7	10
EBI3	1	0	0	0
EBNA1BP2	251	796	288	1017
EBPL	2	7	3	5
ECE1	771	614	596	440
ECE2	14	67	29	112
ECH1	25	7	13	10
ECHDC1	585	703	436	209
ECHDC2	365	87	323	79
ECHDC3	10	8	7	1
ECI1	42	19	61	35
ECI2	340	390	294	431
ECM1	1602	1281	2541	2132
ECSIT	57	40	36	68
ECT2	137	190	90	61
ECT2L	4	3	2	0
EDA	1	0	2	0
EDA2R	151	47	104	40
EDAR	0	0	0	0
EDARADD	919	2598	954	4102
EDC3	292	425	273	487
EDC4	314	416	261	402
EDDM3B	0	0	0	0
EDEM1	568	1120	459	1025
EDEM2	145	147	158	214
EDEM3	895	1948	545	578
EDIL3	601	452	228	140
EDN1	175	394	183	368
EDN2	0	0	0	1
EDN3	0	0	0	0
EDNRA	29	101	19	56
EDNRB	0	1	0	0
EEA1	1238	1140	592	209
EEF1A2	0	4	21	36
EEF1D	1112	1239	1333	2024
EEF1E1	112	254	97	107
EEF1G	951	982	1089	1823
EEF2	10315	6225	9087	7242
EEF2K	92	165	41	136
EEFSEC	95	175	95	252
EEPD1	46	19	51	34
EFCAB1	3	5	0	2
EFCAB10	45	116	31	66
EFCAB11	19	19	16	23
EFCAB2	27	31	11	13
EFCAB3	0	0	0	0
EFCAB4A	1	0	4	2
EFCAB4B	53	117	23	81
EFCAB5	5	1	2	0
EFCAB6	26	9	30	15
EFCAB7	91	41	71	19
EFCAB9	0	0	0	0
EFEMP1	394	237	111	65
EFEMP2	2460	2258	3212	3490
EFHA1	279	297	230	132
EFHA2	31	27	23	7
EFHB	0	0	0	0
EFHC1	350	138	298	65
EFHC2	0	1	1	1
EFHD1	47	31	78	36
EFNA1	1	0	0	1
EFNA2	0	0	0	0
EFNA3	7	4	9	20
EFNA4	47	28	35	50
EFNA5	34	14	37	20
EFNB1	87	27	71	22
EFNB2	1690	550	2195	406
EFR3A	630	720	476	415
EFR3B	2	47	1	43
EFS	188	98	434	391
EFTUD1	148	305	107	182
EFTUD2	432	906	372	857
EGF	4	4	1	3
EGFL6	6	2	61	40
EGFL7	38	29	66	63
EGFLAM	0	4	0	1
EGFR	475	499	275	218
EGLN1	438	538	450	544
EGLN2	366	282	270	314
EGLN3	2	2	5	12
EGR2	56	11	97	42
EGR3	23	41	22	29
EGR4	0	0	0	0
EHBP1	2590	905	2434	518
EHBP1L1	950	805	700	455
EHD1	774	782	887	907
EHD2	2268	1406	2626	1883
EHD3	274	879	516	1265
EHD4	66	195	73	183
EHF	0	8	0	0
EHHADH	109	66	69	54
EHMT1	189	232	190	219
EHMT2	333	158	236	221
EI24	144	243	109	259
EIF1AD	48	115	60	150
EIF1B	245	152	280	194
EIF2A	699	849	533	481
EIF2AK1	513	613	464	669
EIF2AK3	249	478	203	359
EIF2AK4	856	941	730	678
EIF2B1	251	386	192	363
EIF2B2	179	346	179	406
EIF2B3	141	413	132	453
EIF2B4	233	329	217	437
EIF2B5	283	490	278	575
EIF2C1	445	369	290	334
EIF2C2	151	209	86	124
EIF2C4	308	242	270	135
EIF2D	612	402	607	432
EIF2S1	690	1880	647	1381
EIF2S2	69	87	60	29
EIF3A	2331	3165	1498	1560
EIF3B	847	1731	691	1734
EIF3D	1482	1701	1251	2099
EIF3E	632	521	538	189
EIF3F	784	499	781	624
EIF3G	596	741	675	1180
EIF3H	1325	1472	1262	1386
EIF3I	490	839	462	1376
EIF3K	400	549	420	955
EIF3L	717	397	623	495
EIF3M	711	1165	639	891
EIF4A1	1	1	4	4
EIF4E	36	145	34	65
EIF4E1B	0	0	0	0
EIF4E2	296	495	330	633
EIF4E3	248	119	253	121
EIF4EBP1	33	34	44	49
EIF4EBP3	99	42	74	34
EIF4ENIF1	205	223	188	198
EIF4G1	2734	6290	2552	5146
EIF4G2	6722	12143	6028	10481
EIF4H	144	311	161	360
EIF5	357	560	266	447
EIF5A2	162	192	103	57
EIF5B	939	1981	825	1095
EIF6	135	368	171	605
ELAC1	25	26	17	15
ELAC2	298	385	311	439
ELAVL1	556	780	542	927
ELAVL2	0	1	0	0
ELAVL3	0	0	0	0
ELAVL4	0	0	0	0
ELF2	288	236	243	220
ELF3	1	0	1	0
ELF5	0	1	0	0
ELK1	27	45	28	43
ELK3	691	1918	579	937
ELK4	100	98	31	18
ELL	34	30	26	41
ELL3	6	9	5	9
ELMO1	0	1	0	3
ELMO2	458	388	382	425
ELMO3	6	7	4	7
ELMOD1	3	37	0	11
ELMOD2	394	576	246	149
ELMOD3	154	108	139	112
ELN	324	692	332	1488
ELOF1	69	121	89	177
ELOVL1	335	661	365	814
ELOVL2	0	1	0	0
ELOVL3	13	3	4	8
ELOVL4	75	122	54	60
ELOVL5	258	398	237	358
ELOVL6	147	761	71	230
ELOVL7	0	12	2	1
ELP2	744	880	577	891
ELP3	121	200	121	226
ELP4	59	88	60	83
ELSPBP1	0	0	0	0
ELTD1	498	738	42	71
EMB	0	0	2	3
EMD	259	369	305	609
EME1	90	358	68	437
EME2	13	17	13	16
EMID1	1	0	0	2
EMILIN1	1697	2407	1584	2436
EMILIN2	506	336	210	116
EMILIN3	0	0	1	0
EML1	316	597	309	571
EML3	270	246	226	350
EML4	454	460	252	181
EML5	147	181	106	88
