geneName	h1_P	h2_P	h1_T12	h2_T12
CUL2	410	432	571	332
CUL3	683	607	760	465
CUL4A	879	1043	1145	971
CUL4B	885	696	887	358
CUL5	553	453	723	189
CUL7	494	643	434	579
CUL9	150	173	147	139
CUTA	466	608	466	696
CUTC	115	125	93	90
CUX1	393	390	394	346
CUX2	0	0	0	0
CUZD1	6	3	13	4
CWC22	258	206	266	118
CWC25	130	142	140	140
CWC27	165	167	194	82
CWF19L2	90	74	76	26
CWH43	0	0	0	0
CX3CR1	0	3	0	0
CXADR	0	0	0	1
CXCL10	0	0	2	0
CXCL11	0	0	0	0
CXCL12	5229	4594	6381	4356
CXCL13	0	0	0	0
CXCL14	14	117	6	14
CXCL16	2	8	3	24
CXCL17	0	0	0	0
CXCL6	34	25	14	18
CXCL9	0	0	0	0
CXCR1	0	0	0	0
CXCR2	0	0	0	0
CXCR3	0	0	0	0
CXCR4	0	0	2	3
CXCR5	0	0	0	1
CXCR6	0	0	1	1
CXCR7	366	163	767	745
CXXC1	208	294	306	286
CXXC4	0	0	0	0
CXXC5	1150	1034	926	798
CXorf21	0	0	0	0
CXorf22	0	0	0	0
CXorf23	58	54	40	14
CXorf26	40	54	71	47
CXorf27	0	0	0	0
CXorf30	0	0	0	0
CXorf38	35	34	33	36
CXorf41	0	0	0	0
CXorf48	0	0	0	0
CXorf57	24	0	14	1
CXorf61	0	0	0	0
CXorf64	0	0	0	0
CXorf65	0	0	0	0
CXorf66	0	0	0	0
CYB561	273	192	330	236
CYB561D1	324	271	228	289
CYB561D2	221	190	293	258
CYB5A	57	61	98	107
CYB5B	184	192	215	280
CYB5D1	246	213	344	330
CYB5R1	311	299	387	424
CYB5R2	39	120	61	96
CYB5R3	2152	2796	2444	3238
CYB5R4	85	167	92	64
CYB5RL	25	17	31	32
CYBA	33	33	16	71
CYBASC3	165	97	200	143
CYBB	0	0	0	0
CYBRD1	8935	6399	10071	5765
CYC1	312	397	508	763
CYFIP1	935	1093	1055	864
CYFIP2	25	19	19	48
CYGB	252	115	112	54
CYHR1	231	228	128	203
CYLC1	0	0	0	0
CYLC2	0	0	0	0
CYLD	1052	899	1031	571
CYP11B1	0	0	0	0
CYP17A1	0	0	0	0
CYP19A1	14	16	19	22
CYP1A2	0	0	0	0
CYP1B1	2758	826	1121	626
CYP20A1	102	94	139	110
CYP24A1	0	0	0	0
CYP26B1	76	26	80	56
CYP26C1	0	0	0	0
CYP27A1	36	27	35	26
CYP27B1	5	5	10	5
CYP27C1	32	22	44	11
CYP2C8	0	0	0	0
CYP2J2	0	1	0	0
CYP2R1	78	56	51	32
CYP2S1	0	0	0	0
CYP2U1	206	132	204	102
CYP2W1	0	0	0	0
CYP39A1	2	0	0	0
CYP3A43	1	0	0	0
CYP46A1	1	0	0	4
CYP4B1	0	0	0	0
CYP4F12	0	0	0	0
CYP4F2	0	0	0	0
CYP4F22	0	0	0	0
CYP4F8	0	0	0	0
CYP4V2	30	32	38	15
CYP4X1	0	0	0	0
CYP7A1	1	0	0	0
CYP7B1	68	3	74	18
CYR61	10639	12572	16144	15661
CYS1	3	9	3	7
CYSLTR1	0	0	0	0
CYTH1	228	193	204	162
CYTH2	441	590	259	409
CYTH3	488	704	440	590
CYTH4	0	0	0	0
CYTIP	0	0	0	1
CYTL1	36	3	23	3
CYYR1	41	6	12	2
D2HGDH	35	67	57	69
DAAM1	238	195	184	78
DAAM2	291	334	135	224
DAB1	37	19	42	16
DAB2	4460	4482	3563	1925
DAB2IP	201	182	130	195
DACH1	12	2	5	0
DACH2	0	0	0	0
DACT1	1143	559	892	757
DACT2	0	0	0	0
DAD1	1195	1436	1527	2058
DAG1	1940	2226	1979	1612
DAGLA	46	61	42	31
DAK	170	146	171	171
DAO	0	0	0	0
DAP	111	137	142	217
DAP3	291	317	473	509
DAPK1	94	57	82	24
DAPK2	45	102	15	48
DAPK3	356	393	330	448
DAPL1	0	0	0	1
DAPP1	1	1	0	0
DARC	0	0	0	0
DARS	506	524	794	856
DARS2	128	194	197	133
DAXX	538	386	539	451
DAZAP1	446	500	669	716
DAZAP2	312	381	282	283
DAZL	1	0	0	0
DBC1	258	136	50	87
DBF4	13	15	12	8
DBF4B	26	36	25	21
DBH	0	0	0	0
DBI	466	615	582	516
DBN1	1490	1772	1294	1343
DBNDD1	2	5	0	0
DBNDD2	51	94	118	152
DBP	64	196	1	9
DBR1	135	162	171	152
DBT	222	131	226	138
DBX2	0	0	0	2
DCAF10	310	230	337	216
DCAF11	400	427	360	409
DCAF12	187	169	253	173
DCAF12L2	0	1	0	1
DCAF15	63	134	54	85
DCAF16	157	177	212	104
DCAF17	218	148	199	129
DCAF4	87	88	106	127
DCAF4L1	7	5	3	4
DCAF5	411	422	400	330
DCAF6	920	889	842	573
DCAKD	40	45	58	47
DCBLD1	847	524	722	479
DCBLD2	3058	5171	4237	2319
DCC	0	0	0	0
DCD	0	0	0	0
DCDC1	0	0	0	0
DCDC2	0	0	0	0
DCDC5	3	1	13	3
DCHS1	225	295	209	213
DCHS2	13	13	4	1
DCK	9	13	20	9
DCLK1	102	48	95	27
DCLK2	52	59	28	39
DCLK3	2	0	14	5
DCLRE1A	88	92	62	27
DCLRE1B	152	207	147	136
DCLRE1C	31	33	27	14
DCN	32287	34355	33477	78014
DCP1B	124	81	101	82
DCPS	38	66	57	94
DCST1	2	0	3	0
DCST2	1	1	2	0
DCT	0	0	1	1
DCTD	1032	1229	1451	1943
DCTN1	2335	2582	2786	2497
DCTN2	849	1048	825	1092
DCTN3	327	382	378	648
DCTN4	927	747	975	756
DCTN5	19	12	19	32
DCTN6	144	191	217	101
DCTPP1	123	174	221	319
DCUN1D1	251	244	255	62
DCUN1D2	62	67	40	50
DCUN1D4	554	454	473	209
DCUN1D5	172	157	375	319
DCX	0	0	0	0
DCXR	72	115	87	206
DDA1	43	29	34	61
DDAH1	3216	2554	4118	1684
DDAH2	305	480	228	357
DDB1	2124	1824	2405	2177
DDB2	155	164	176	247
DDC	1	0	0	0
DDHD1	238	218	253	165
DDHD2	353	418	446	327
DDI2	158	99	254	134
DDIT3	325	318	242	331
DDIT4	1550	1000	720	1312
DDIT4L	6	14	3	9
DDN	0	0	0	1
DDO	1	0	0	0
DDOST	981	1137	1200	1461
DDR2	1316	1333	911	790
DDRGK1	151	208	215	178
DDX1	1015	890	1542	1107
DDX17	4687	4257	3422	2203
DDX18	27	29	70	48
DDX19B	82	89	114	113
DDX20	47	72	60	45
DDX23	393	414	535	523
DDX24	1192	1380	1973	1981
DDX25	0	0	0	0
DDX26B	64	83	43	24
DDX27	393	434	537	425
DDX28	65	72	65	113
DDX31	66	70	109	119
DDX39A	162	278	259	348
DDX39B	1562	2185	1617	1708
DDX4	0	0	0	0
DDX41	438	467	531	980
DDX42	1248	1183	1651	1149
DDX43	1	8	1	2
DDX46	649	600	792	397
DDX47	430	428	645	611
DDX49	151	181	298	454
DDX5	5246	5696	5639	3554
DDX50	154	156	254	174
DDX51	29	48	75	106
DDX52	345	298	394	179
DDX54	364	375	425	478
DDX55	124	106	213	175
DDX56	278	346	502	690
DDX58	102	90	103	60
DDX59	75	97	52	61
DDX6	172	135	187	131
DDX60	43	31	41	9
DDX60L	111	68	96	21
DEAF1	186	194	193	320
30-Nov	0	0	0	1
DECR1	212	251	231	248
DECR2	24	40	29	45
DEDD	245	378	267	359
DEF6	3	1	0	1
DEF8	62	87	68	98
DEFB1	0	0	0	0
DEFB110	0	0	0	0
DEFB114	0	0	0	0
DEFB116	0	0	0	0
DEFB118	0	0	0	0
DEFB121	0	0	0	0
DEFB123	0	0	0	0
DEFB124	0	0	0	0
DEFB126	0	0	0	0
DEFB127	0	0	0	0
DEFB129	0	0	0	0
DEFB132	0	0	0	0
DEFB133	0	0	0	0
DEFB134	0	0	0	0
DEFB136	0	0	0	0
DEGS1	1344	1386	2043	2073
DEGS2	0	0	0	0
DEM1	114	151	105	100
DENND1A	46	65	64	69
DENND1B	85	85	88	31
DENND1C	0	0	0	0
DENND2C	18	9	26	4
DENND2D	6	6	14	4
DENND3	48	143	23	57
DENND4A	324	257	414	156
DENND4B	199	259	287	288
DENND4C	388	365	404	198
DENND5A	1346	1470	1207	1329
DENND5B	208	161	169	81
DENR	37	31	83	35
DEPDC1	2	8	1	0
DEPDC1B	6	20	0	0
DEPDC7	64	118	93	72
DEPTOR	81	17	50	23
DERA	128	174	121	133
DERL1	827	805	940	881
DERL2	334	330	506	486
DES	62	37	60	32
DET1	74	72	55	61
DFFA	218	220	305	338
DFFB	13	16	13	20
DFNA5	343	357	228	198
DFNB31	29	126	22	41
DFNB59	10	10	12	10
DGAT1	85	111	77	105
DGAT2	86	29	32	10
DGAT2L6	0	0	0	0
DGCR14	104	138	162	196
DGCR2	682	746	823	810
DGCR8	440	428	759	788
DGKA	437	435	328	225
DGKB	0	3	2	2
DGKD	57	74	100	88
DGKE	14	13	22	14
DGKG	4	2	0	1
DGKI	249	186	291	180
DGKZ	116	168	155	171
DGUOK	178	208	224	377
DHCR24	981	942	1728	1659
DHCR7	91	117	178	180
DHDDS	478	557	737	772
DHDH	0	0	0	0
DHODH	23	20	33	52
DHPS	217	255	225	345
DHRS1	46	64	48	64
DHRS11	17	25	28	38
DHRS12	12	15	25	15
DHRS13	20	20	12	42
DHRS2	1	1	5	1
DHRS3	101	156	51	107
DHRS7	357	440	592	509
DHRS7B	108	168	106	208
DHRS7C	0	0	0	0
DHRS9	0	0	1	0
DHTKD1	70	69	80	46
DHX15	1515	1470	2137	1393
DHX16	316	338	458	409
DHX29	632	567	859	364
DHX30	406	490	600	687
DHX32	352	439	413	472
DHX33	126	130	249	163
DHX34	70	95	109	97
DHX35	76	71	78	68
DHX36	373	312	498	261
DHX38	496	556	600	560
DHX40	402	322	291	226
DHX57	219	192	354	232
DHX58	33	38	28	26
DHX8	456	407	477	422
DHX9	180	135	208	141
DIAPH2	264	181	230	88
DICER1	482	401	537	183
DIDO1	525	585	647	440
DIEXF	683	719	668	582
DIMT1	281	290	488	471
DIO1	1	1	0	0
DIP2A	196	184	287	145
DIP2B	325	342	327	195
DIP2C	762	767	779	491
DIRAS2	27	0	30	0
DIRAS3	135	83	276	342
DIRC2	88	86	60	53
DIS3	563	494	857	398
DIS3L	136	140	194	118
DIS3L2	78	84	99	101
DISC1	12	17	16	12
DISP1	95	86	55	61
DISP2	4	2	1	0
DIXDC1	777	582	575	363
DKC1	407	364	996	862
DKK1	5826	19037	8850	15307
DKK2	157	88	168	53
DKK3	8224	9002	8934	8451
DKK4	0	0	0	1
DKKL1	0	0	1	0
DLAT	201	248	349	248
DLD	743	793	793	420
DLEC1	106	121	140	174
DLEU7	2	11	1	2
DLG1	752	668	1037	344
DLG2	7	1	4	11
DLG3	109	104	26	43
DLG4	220	277	209	238
DLG5	962	918	818	595
DLGAP1	1	1	0	1
DLGAP2	1	0	0	0
DLGAP3	0	0	0	0
DLGAP5	40	132	11	3
DLK1	0	1	0	3
DLK2	3	10	10	5
DLL1	4	4	2	4
DLL3	0	2	4	3
DLL4	0	1	0	0
DLST	89	84	81	81
DLX1	81	74	72	54
DLX2	22	12	21	20
DLX3	34	117	28	66
DLX4	7	11	0	1
DLX5	9	0	1	0
DLX6	0	0	0	0
DMAP1	112	146	106	129
DMBT1	0	0	1	0
DMBX1	0	0	0	0
DMC1	3	15	1	4
DMGDH	6	2	9	2
DMP1	0	0	0	0
DMRT2	0	0	1	0
DMRT3	0	0	0	0
DMRTA1	1	0	0	0
DMRTA2	0	0	0	0
DMRTB1	0	0	0	0
DMRTC2	0	0	0	0
DMTF1	646	600	593	291
DMWD	307	456	347	312
DMXL1	520	453	477	168
DNAAF1	1	0	0	0
DNAH1	120	171	119	82
DNAH12	2	0	0	1
DNAH2	0	0	0	0
DNAH3	1	0	0	0
DNAH5	43	25	40	27
DNAH6	2	0	0	0
DNAH7	9	5	12	5
DNAH8	0	0	0	0
DNAH9	0	0	0	0
DNAI1	0	0	0	0
DNAI2	1	0	0	0
DNAJA1	77	72	167	115
DNAJA4	48	51	72	34
DNAJB14	54	33	53	11
DNAJB2	547	612	455	660
DNAJB4	377	233	984	150
DNAJB5	317	304	444	629
DNAJB7	7	7	20	17
DNAJB8	0	0	0	0
DNAJB9	821	549	1289	908
DNAJC1	311	357	294	275
DNAJC10	1876	1218	2187	847
DNAJC11	232	239	387	413
DNAJC12	1	4	2	1
DNAJC13	1570	1278	1408	576
DNAJC16	174	131	192	99
DNAJC17	18	15	12	23
DNAJC18	106	126	84	111
DNAJC19	80	96	93	92
DNAJC2	195	166	428	142
DNAJC21	381	379	495	199
DNAJC22	4	3	2	2
DNAJC24	78	64	101	49
DNAJC25	227	205	342	199
DNAJC27	71	85	39	52
DNAJC28	6	9	5	0
DNAJC3	506	388	787	447
DNAJC4	77	89	98	145
DNAJC5	2	3	4	5
DNAJC5B	0	0	0	0
DNAJC5G	0	0	0	0
DNAJC6	126	148	154	113
DNAJC9	80	86	86	40
DNAL1	92	65	140	67
DNAL4	95	106	104	150
DNALI1	18	12	19	25
DNASE1	37	37	25	9
DNASE1L2	4	0	2	3
DNASE1L3	0	0	0	0
DNASE2	199	253	214	261
DNASE2B	0	0	0	1
DND1	0	0	0	0
DNER	1	0	5	0
DNLZ	27	75	63	100
DNM1	252	305	132	203
DNM1L	1047	1014	1136	652
DNM2	566	642	695	687
DNM3	32	59	18	16
DNMT1	495	534	685	493
DNMT3A	56	70	40	35
DNMT3B	23	27	7	7
DNMT3L	0	0	0	0
DNPEP	252	263	240	420
DNTT	0	0	0	0
DNTTIP1	63	80	109	177
DNTTIP2	47	49	61	29
DOC2A	53	88	90	124
DOC2B	0	0	1	0
DOCK1	913	715	919	553
DOCK11	44	38	15	3
DOCK2	77	37	60	62
DOCK3	21	13	54	18
DOCK4	37	30	5	5
DOCK5	1591	1857	1426	694
DOCK6	86	131	145	140
DOCK7	1045	1152	1206	711
DOCK8	0	0	0	0
DOCK9	222	198	225	110
DOHH	22	21	37	34
DOK1	599	705	399	517
DOK2	0	1	0	0
DOK4	374	574	436	701
DOK5	65	117	133	307
DOK6	171	152	195	141
DOK7	1	5	1	3
DOLK	201	233	269	265
DOLPP1	135	148	184	217
DOM3Z	146	160	137	135
DONSON	186	160	215	100
DOPEY1	415	377	681	352
DOPEY2	220	255	175	140
DOT1L	202	257	260	243
DPAGT1	329	347	367	344
DPCD	102	89	188	248
DPCR1	0	0	0	0
DPEP1	0	0	0	0
DPEP2	0	0	0	0
DPEP3	0	0	0	0
DPF1	4	8	8	6
DPF2	130	144	125	159
DPH1	102	107	116	115
DPH3	679	601	851	580
DPM1	207	210	319	168
DPM2	90	124	145	183
DPM3	44	55	51	95
DPP10	0	0	0	0
DPP4	544	90	666	346
DPP6	0	0	0	0
DPP7	184	193	262	336
DPP8	294	244	357	148
DPP9	187	305	343	374
DPT	1844	1568	1782	4363
DPY19L3	463	438	491	269
DPY19L4	98	78	130	65
DPY30	96	109	137	88
DPYD	581	581	439	286
DPYS	0	0	0	0
DPYSL2	1406	1154	518	596
DPYSL3	1522	1372	998	1418
DPYSL5	1	0	0	0
DQX1	0	2	2	1
DR1	704	699	955	627
DRAM1	953	492	1150	594
DRAM2	239	318	267	177
DRAP1	738	989	1429	2196
DRD1	3	0	2	1
DRD2	0	0	0	0
DRD3	0	0	0	0
DRD4	0	0	0	1
DRG1	157	160	338	357
DRG2	168	183	240	335
DROSHA	388	437	522	374
DRP2	0	4	0	0
DSC1	0	0	0	0
DSC2	0	0	0	0
DSC3	0	0	0	0
DSCAM	0	0	0	0
DSCAML1	0	0	0	0
DSCC1	38	72	37	30
DSCR3	143	117	126	125
DSCR8	0	0	0	0
DSE	734	576	895	425
DSG1	0	0	0	0
DSG2	42	0	12	1
DSG3	0	0	0	0
DSG4	0	0	0	0
DSN1	146	189	138	78
DSP	8618	6329	9931	4687
DSPP	0	0	0	0
DST	7670	4745	6796	1618
DSTN	2329	3051	2976	3558
DSTYK	1298	1106	845	611
DTHD1	0	0	0	0
DTL	175	233	170	100
DTNA	85	36	63	15
DTNB	15	12	15	16
DTWD1	37	15	19	7
DTWD2	0	0	1	0
DTX1	0	0	1	0
DTX2.1	10	14	8	13
DTX3	56	42	68	33
DTX3L	189	176	119	99
DTYMK	105	167	123	215
DUOX1	3	10	3	4
DUOXA1	0	0	0	0
DUOXA2	0	0	0	0
DUPD1	0	0	0	0
DUS2L	43	39	77	80
DUS4L	37	39	29	32
DUSP1	2034	2325	2791	3335
DUSP10	381	335	260	283
DUSP11	158	164	250	248
DUSP12	173	195	217	191
DUSP13	0	0	0	0
DUSP14	829	1286	1337	1617
DUSP15	1	4	0	1
DUSP16	111	102	81	54
DUSP18	84	93	81	46
DUSP19	5	4	3	1
DUSP21	0	0	0	0
DUSP22	11	14	15	20
DUSP23	66	79	44	128
DUSP26	7	11	5	14
DUSP27	0	0	0	0
DUSP28	3	5	4	6
DUSP3	132	101	143	127
DUSP4	130	338	81	191
DUSP5	180	169	403	330
DUSP6	436	643	661	375
DUSP7	52	84	82	81
DUSP9	0	0	0	0
DUT	146	152	163	135
DVL1	70	55	76	68
DVL2	191	210	204	213
DVL3	366	408	433	354
DYDC1	0	0	0	0
DYDC2	0	0	0	0
DYM	269	289	359	318
DYNC1H1	4609	3195	3944	2355
DYNC1I1	39	47	31	16
DYNC1I2	402	490	463	348
DYNC1LI1	331	363	375	298
DYNC1LI2	1588	1468	1965	1217
DYNC2H1	225	184	280	90
DYNC2LI1	89	60	68	22
DYNLRB1	254	348	266	489
DYNLRB2	2	0	4	1
DYNLT1	367	343	453	479
DYNLT3	10	13	3	1
DYRK1A	559	563	547	297
DYRK1B	104	119	50	65
DYRK2	319	292	311	284
DYRK3	142	131	204	149
DYRK4	81	110	109	165
DYSF	23	19	21	5
DYX1C1-CCPG1	2519	2446	2721	1001
DZANK1	14	20	8	6
DZIP1	260	233	394	329
DZIP1L	70	96	112	89
DZIP3	70	43	62	33
E2F1	144	204	134	98
E2F2	4	2	1	1
E2F3	20	18	29	19
E2F4	255	319	560	609
E2F5	33	46	55	45
E2F6	78	53	97	71
E2F7	393	302	354	135
E2F8	9	30	0	0
E4F1	110	140	133	167
EAF1	45	55	99	71
EAF2	3	3	5	6
EAPP	227	239	174	136
EARS2	223	210	489	565
EBAG9	103	131	112	93
EBF1	106	55	146	88
EBF2	274	1	444	3
EBF3	227	227	309	197
EBF4	0	5	2	10
EBI3	0	0	0	0
EBNA1BP2	352	454	796	1017
EBPL	4	5	7	5
ECE1	916	793	614	440
ECE2	41	46	67	112
ECH1	6	6	7	10
ECHDC1	556	589	703	209
ECHDC2	69	151	87	79
ECHDC3	6	1	8	1
ECI1	31	30	19	35
ECI2	379	475	390	431
ECM1	1190	2065	1281	2132
ECSIT	25	44	40	68
ECT2	254	340	190	61
ECT2L	2	1	3	0
EDA	2	1	0	0
EDA2R	73	32	47	40
EDAR	0	0	0	0
EDARADD	1753	1926	2598	4102
EDC3	382	311	425	487
EDC4	264	287	416	402
EDDM3B	0	0	0	0
EDEM1	973	974	1120	1025
EDEM2	140	146	147	214
EDEM3	1510	1223	1948	578
EDIL3	474	176	452	140
EDN1	369	623	394	368
EDN2	0	0	0	1
EDN3	0	0	0	0
EDNRA	120	94	101	56
EDNRB	1	0	1	0
EEA1	944	614	1140	209
EEF1A2	1	24	4	36
EEF1D	954	1123	1239	2024
EEF1E1	166	179	254	107
EEF1G	868	916	982	1823
EEF2	5574	5544	6225	7242
EEF2K	132	163	165	136
EEFSEC	90	115	175	252
EEPD1	57	29	19	34
EFCAB1	4	1	5	2
EFCAB10	53	49	116	66
EFCAB11	27	42	19	23
EFCAB2	21	8	31	13
EFCAB3	0	0	0	0
EFCAB4A	4	4	0	2
EFCAB4B	68	73	117	81
EFCAB5	2	1	1	0
EFCAB6	11	11	9	15
EFCAB7	37	36	41	19
EFCAB9	0	2	0	0
EFEMP1	319	119	237	65
EFEMP2	2063	3142	2258	3490
EFHA1	269	269	297	132
EFHA2	13	23	27	7
EFHB	0	0	0	0
EFHC1	126	164	138	65
EFHC2	4	0	1	1
EFHD1	25	51	31	36
EFNA1	0	0	0	1
EFNA2	0	0	0	0
EFNA3	11	12	4	20
EFNA4	20	45	28	50
EFNA5	32	23	14	20
EFNB1	39	31	27	22
EFNB2	270	249	550	406
EFR3A	671	648	720	415
EFR3B	36	37	47	43
EFS	144	448	98	391
EFTUD1	204	214	305	182
EFTUD2	613	585	906	857
EGF	7	11	4	3
EGFL6	3	18	2	40
EGFL7	19	44	29	63
EGFLAM	0	0	4	1
EGFR	273	170	499	218
EGLN1	415	442	538	544
EGLN2	330	376	282	314
EGLN3	2	1	2	12
EGR2	16	7	11	42
EGR3	76	47	41	29
EGR4	1	0	0	0
EHBP1	942	807	905	518
EHBP1L1	886	930	805	455
EHD1	619	731	782	907
EHD2	1353	1868	1406	1883
EHD3	499	784	879	1265
EHD4	134	198	195	183
EHF	1	0	8	0
EHHADH	72	109	66	54
EHMT1	179	199	232	219
EHMT2	185	231	158	221
EI24	147	166	243	259
EIF1AD	61	94	115	150
EIF1B	194	249	152	194
EIF2A	648	769	849	481
EIF2AK1	529	569	613	669
EIF2AK3	330	346	478	359
EIF2AK4	734	780	941	678
EIF2B1	257	246	386	363
EIF2B2	283	257	346	406
EIF2B3	198	202	413	453
EIF2B4	248	296	329	437
EIF2B5	345	378	490	575
EIF2C1	298	238	369	334
EIF2C2	154	149	209	124
EIF2C4	284	330	242	135
EIF2D	259	292	402	432
EIF2S1	1149	1008	1880	1381
EIF2S2	99	57	87	29
EIF3A	2515	2100	3165	1560
EIF3B	1038	988	1731	1734
EIF3D	1413	1395	1701	2099
EIF3E	408	399	521	189
EIF3F	389	403	499	624
EIF3G	493	565	741	1180
EIF3H	1017	1083	1472	1386
EIF3I	691	650	839	1376
EIF3K	442	516	549	955
EIF3L	375	375	397	495
EIF3M	728	787	1165	891
EIF4A1	4	6	1	4
EIF4E	83	113	145	65
EIF4E1B	0	0	0	0
EIF4E2	382	461	495	633
EIF4E3	93	97	119	121
EIF4EBP1	34	43	34	49
EIF4EBP3	34	40	42	34
EIF4ENIF1	204	224	223	198
EIF4G1	4189	4319	6290	5146
EIF4G2	10758	10734	12143	10481
EIF4H	240	223	311	360
EIF5	503	510	560	447
EIF5A2	210	150	192	57
EIF5B	1249	1055	1981	1095
EIF6	203	221	368	605
ELAC1	16	22	26	15
ELAC2	299	360	385	439
ELAVL1	481	633	780	927
ELAVL2	0	4	1	0
ELAVL3	0	0	0	0
ELAVL4	0	0	0	0
ELF2	300	277	236	220
ELF3	0	1	0	0
ELF5	0	0	1	0
ELK1	22	36	45	43
ELK3	1527	1864	1918	937
ELK4	90	68	98	18
ELL	27	27	30	41
ELL3	12	12	9	9
ELMO1	2	3	1	3
ELMO2	441	485	388	425
ELMO3	5	8	7	7
ELMOD1	29	6	37	11
ELMOD2	456	345	576	149
ELMOD3	127	152	108	112
ELN	787	1139	692	1488
ELOF1	77	110	121	177
ELOVL1	489	638	661	814
ELOVL2	0	0	1	0
ELOVL3	3	6	3	8
ELOVL4	160	108	122	60
ELOVL5	306	346	398	358
ELOVL6	246	209	761	230
ELOVL7	5	0	12	1
ELP2	593	476	880	891
ELP3	132	172	200	226
ELP4	81	82	88	83
ELSPBP1	0	0	0	0
ELTD1	934	425	738	71
EMB	0	1	0	3
EMD	284	359	369	609
EME1	208	253	358	437
EME2	8	15	17	16
EMID1	0	0	0	2
EMILIN1	2240	2054	2407	2436
EMILIN2	840	296	336	116
EMILIN3	0	0	0	0
EML1	681	686	597	571
EML3	253	323	246	350
EML4	396	317	460	181
EML5	202	115	181	88
EMP1	10376	10302	14247	10532
EMP3	1444	1954	1450	2156
EMR1	0	0	0	0
EMR2	2	4	0	4
EMR3	0	0	0	0
EMX1	1	0	0	1
EMX2	480	504	414	449
EN1	73	120	99	192
EN2	0	1	0	1
ENAH	2853	1486	2266	1069
ENAM	2	0	1	2
ENC1	649	258	1012	163
ENDOD1	723	646	726	469
ENDOG	16	22	16	23
ENDOU	2	3	6	2
ENDOV	47	44	46	41
ENG	2095	2405	1565	1917
ENGASE	45	64	64	68
ENO4	2	3	4	0
ENOSF1	116	161	90	80
ENOX2	140	100	141	112
ENPEP	15	11	8	1
ENPP1	1137	1744	455	429
ENPP2	2539	772	2849	809
ENPP3	0	1	0	1
ENPP4	86	34	116	10
ENPP5	0	1	2	1
ENPP6	0	0	0	0
ENPP7	0	0	0	0
ENSA	262	322	321	365
ENTHD1	0	0	0	0
ENTPD1	0	1	0	0
ENTPD2	0	1	0	2
ENTPD3	1	2	1	0
ENTPD4	435	389	735	278
ENTPD5	141	129	160	174
ENTPD6	167	244	246	243
ENTPD7	301	321	710	432
ENTPD8	0	0	0	0
ENY2	302	354	370	264
EOMES	0	0	2	0
EP300	858	921	793	549
EP400	279	277	307	161
EPAS1	2034	1731	1915	1376
EPB41	95	228	79	120
EPB41L2	626	875	693	488
EPB41L3	717	346	851	272
EPB41L4A	0	2	3	5
EPB41L4B	4	1	3	4
EPB41L5	73	66	73	61
EPB42	0	0	0	0
EPB49	8	11	4	3
EPC1	252	262	295	228
EPC2	288	322	274	192
EPCAM	0	0	0	0
EPDR1	578	593	523	448
EPG5	1001	738	2035	709
EPGN	10	0	19	0
EPHA1	169	237	207	398
EPHA2	113	158	187	173
EPHA3	108	3	32	0
EPHA4	72	41	135	52
EPHA5	0	0	0	0
EPHA6	0	0	0	0
EPHA7	0	0	0	0
EPHA8	0	0	0	0
EPHB1	260	286	879	409
EPHB2	41	26	48	25
EPHB3	107	120	54	91
EPHB4	195	204	140	145
EPHB6	9	8	7	3
EPHX1	308	289	354	467
EPHX2	2	6	2	10
EPHX3	0	0	0	0
EPHX4	1	1	0	1
EPM2A	56	113	66	64
EPN1	574	793	728	1091
EPN2	302	337	333	263
EPO	0	0	0	0
EPRS	2610	2425	2724	1742
EPS15	477	510	352	267
EPS15L1	111	97	221	173
EPS8	1665	2297	1200	1025
EPS8L1	0	4	0	0
EPS8L3	0	0	0	0
EPT1	101	65	228	109
EPX	0	0	0	0
EPYC	0	1	1	2
ERAL1	224	300	320	493
ERAP1	472	434	483	302
ERAP2	128	52	156	69
ERBB2	399	561	366	420
ERBB2IP	1598	1412	2469	720
ERBB4	1	2	0	1
ERC1	667	453	630	302
ERC2	0	2	0	1
ERCC1	420	530	711	958
ERCC2	198	226	332	407
ERCC4	110	104	128	67
ERCC5	709	1066	797	477
ERCC6L	32	76	29	12
ERCC8	71	60	105	108
EREG	0	0	5	1
ERF	445	555	403	442
ERG	12	23	9	18
ERGIC1	3077	3582	3612	3750
ERGIC3	1227	1383	1400	2296
ERH	549	618	841	873
ERI2	19	22	22	17
ERI3	75	70	103	154
ERICH1	48	50	65	51
ERLEC1	867	768	1168	651
ERLIN1	853	990	1062	980
ERLIN2	814	755	1027	916
ERMAP	35	22	28	15
ERMN	9	8	13	2
ERMP1	157	177	167	103
ERN1	121	76	178	87
ERN2	0	0	0	0
ERO1L	355	381	399	311
ERP27	0	0	0	0
ERP29	768	1108	888	1180
ERP44	569	612	710	600
ERRFI1	510	833	706	1471
ESAM	0	0	0	1
ESCO1	160	149	186	62
ESCO2	45	57	10	3
ESD	287	319	324	402
ESF1	52	37	109	20
ESM1	114	342	550	110
ESPL1	43	121	23	13
ESR1	6	0	4	2
ESR2	0	1	0	0
ESRP1	0	0	0	0
ESRP2	2	0	1	1
ESRRA	18	7	29	15
ESRRB	0	0	0	0
ESRRG	0	0	0	0
ESX1	0	0	0	0
ESYT3	17	33	17	9
ETAA1	47	46	43	12
ETF1	113	114	205	166
ETFA	522	674	604	686
ETFB	95	111	88	183
ETFDH	187	197	150	107
ETNK1	144	103	210	72
ETNK2	19	29	13	23
